,id,fecha,ciudad,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,maxima_semanal,minima_semanal,promedio_maximo,promedio_minimo,temperatura_media,estatus
0,05112022052756Salta ,05/Nov/2022,Salta ,"['Máx', '26°', '|', 'Mín', '15°']","['Máx', '27°', '|', 'Mín', '16°']","['Máx', '28°', '|', 'Mín', '17°']","['Máx', '28°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '20°']","['Máx', '31°', '|', 'Mín', '18°']",Viernes 11 : 31°,Sábado 5 : 15°,27,17,22.0,PERFECTO
1,05112022052757San Salvador de Jujuy ,05/Nov/2022,San Salvador de Jujuy ,"['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '30°', '|', 'Mín', '12°']","['Máx', '33°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '11°']",Jueves 10 : 33°,Sábado 5 : 7°,29,11,20.0,PERFECTO
2,05112022052757Rosario ,05/Nov/2022,Rosario ,"['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '30°', '|', 'Mín', '12°']","['Máx', '33°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '11°']",Jueves 10 : 33°,Sábado 5 : 7°,29,11,20.0,PERFECTO
3,05112022052758Córdoba ,05/Nov/2022,Córdoba ,"['Máx', '28°', '|', 'Mín', '10°']","['Máx', '28°', '|', 'Mín', '14°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '16°']","['Máx', '35°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '16°']",Jueves 10 : 35°,Sábado 5 : 10°,31,14,22.5,PERFECTO
4,05112022052758Capital Federal ,05/Nov/2022,Capital Federal ,"['Máx', '28°', '|', 'Mín', '10°']","['Máx', '28°', '|', 'Mín', '14°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '16°']","['Máx', '35°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '16°']",Jueves 10 : 35°,Sábado 5 : 10°,31,14,22.5,PERFECTO
5,05112022052759Paraná ,05/Nov/2022,Paraná ,"['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '24°', '|', 'Mín', '16°']",Miércoles 9 : 33°,Sábado 5 : 15°,30,16,23.0,PERFECTO
6,05112022052759Posadas ,05/Nov/2022,Posadas ,"['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '24°', '|', 'Mín', '16°']",Miércoles 9 : 33°,Sábado 5 : 15°,30,16,23.0,PERFECTO
7,05112022052800Formosa ,05/Nov/2022,Formosa ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']","['Máx', '26°', '|', 'Mín', '16°']",Lunes 7 : 30°,Sábado 5 : 13°,29,15,22.0,PERFECTO
8,05112022052800Viedma ,05/Nov/2022,Viedma ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']","['Máx', '26°', '|', 'Mín', '16°']",Lunes 7 : 30°,Sábado 5 : 13°,29,15,22.0,PERFECTO
9,05112022052801Ushuaia ,05/Nov/2022,Ushuaia ,"['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']","['Máx', '31°', '|', 'Mín', '16°']",Lunes 7 : 31°,Sábado 5 : 15°,30,16,23.0,PERFECTO
10,05112022052801Mendoza ,05/Nov/2022,Mendoza ,"['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']","['Máx', '31°', '|', 'Mín', '16°']",Lunes 7 : 31°,Sábado 5 : 15°,30,16,23.0,PERFECTO
11,05112022052802San Juan ,05/Nov/2022,San Juan ,"['Máx', '19°', '|', 'Mín', '8°']","['Máx', '19°', '|', 'Mín', '6°']","['Máx', '17°', '|', 'Mín', '8°']","['Máx', '14°', '|', 'Mín', '6°']","['Máx', '9°', '|', 'Mín', '4°']","['Máx', '10°', '|', 'Mín', '2°']","['Máx', '11°', '|', 'Mín', '6°']",Sábado 5 : 19°,Sábado 5 : 8°,14,5,9.5,PERFECTO
12,05112022052802San Luis ,05/Nov/2022,San Luis ,"['Máx', '19°', '|', 'Mín', '8°']","['Máx', '19°', '|', 'Mín', '6°']","['Máx', '17°', '|', 'Mín', '8°']","['Máx', '14°', '|', 'Mín', '6°']","['Máx', '9°', '|', 'Mín', '4°']","['Máx', '10°', '|', 'Mín', '2°']","['Máx', '11°', '|', 'Mín', '6°']",Sábado 5 : 19°,Sábado 5 : 8°,14,5,9.5,PERFECTO
13,05112022052803Rawson ,05/Nov/2022,Rawson ,"['Máx', '32°', '|', 'Mín', '16°']","['Máx', '33°', '|', 'Mín', '14°']","['Máx', '34°', '|', 'Mín', '15°']","['Máx', '36°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '19°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '11°']",Martes 8 : 36°,Sábado 5 : 16°,32,14,23.0,PERFECTO
14,05112022052803Santiago del Estero ,05/Nov/2022,Santiago del Estero ,"['Máx', '32°', '|', 'Mín', '16°']","['Máx', '33°', '|', 'Mín', '14°']","['Máx', '34°', '|', 'Mín', '15°']","['Máx', '36°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '19°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '11°']",Martes 8 : 36°,Sábado 5 : 16°,32,14,23.0,PERFECTO
15,05112022052803La Rioja ,05/Nov/2022,La Rioja ,"['Máx', '33°', '|', 'Mín', '12°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '17°']","['Máx', '26°', '|', 'Mín', '15°']","['Máx', '25°', '|', 'Mín', '15°']","['Máx', '20°', '|', 'Mín', '14°']","['Máx', '24°', '|', 'Mín', '8°']",Sábado 5 : 33°,Sábado 5 : 12°,26,14,20.0,PERFECTO
16,05112022052804Neuquén ,05/Nov/2022,Neuquén ,"['Máx', '33°', '|', 'Mín', '12°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '17°']","['Máx', '26°', '|', 'Mín', '15°']","['Máx', '25°', '|', 'Mín', '15°']","['Máx', '20°', '|', 'Mín', '14°']","['Máx', '24°', '|', 'Mín', '8°']",Sábado 5 : 33°,Sábado 5 : 12°,26,14,20.0,PERFECTO
17,05112022052804Resistencia ,05/Nov/2022,Resistencia ,"['Máx', '34°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '18°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '36°', '|', 'Mín', '18°']","['Máx', '36°', '|', 'Mín', '18°']","['Máx', '35°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '13°']",Martes 8 : 36°,Sábado 5 : 15°,34,16,25.0,PERFECTO
18,05112022052805Río Gallegos ,05/Nov/2022,Río Gallegos ,"['Máx', '34°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '18°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '36°', '|', 'Mín', '18°']","['Máx', '36°', '|', 'Mín', '18°']","['Máx', '35°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '13°']",Martes 8 : 36°,Sábado 5 : 15°,34,16,25.0,PERFECTO
19,05112022052805Corrientes ,05/Nov/2022,Corrientes ,"['Máx', '30°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '18°']","['Máx', '27°', '|', 'Mín', '15°']",Miércoles 9 : 32°,Sábado 5 : 13°,30,15,22.5,PERFECTO
20,05112022052806Santa Rosa ,05/Nov/2022,Santa Rosa ,"['Máx', '30°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '18°']","['Máx', '27°', '|', 'Mín', '15°']",Miércoles 9 : 32°,Sábado 5 : 13°,30,15,22.5,PERFECTO
21,05112022052806San Miguel de Tucumán ,05/Nov/2022,San Miguel de Tucumán ,"['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '16°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '20°']","['Máx', '28°', '|', 'Mín', '16°']",Miércoles 9 : 31°,Sábado 5 : 14°,29,15,22.0,PERFECTO
22,05112022052806San Fernando del Valle de Catamarca ,05/Nov/2022,San Fernando del Valle de Catamarca ,"['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '16°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '20°']","['Máx', '28°', '|', 'Mín', '16°']",Miércoles 9 : 31°,Sábado 5 : 14°,29,15,22.0,PERFECTO
