,id,fecha,ciudad,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,maxima_semanal,minima_semanal,promedio_maximo,promedio_minimo,temperatura_media
0,04112022002950Rosario ,04/Nov/2022,Rosario ,"['Máx', '25°', '|', 'Mín', '14°']","['Máx', '25°', '|', 'Mín', '16°']","['Máx', '26°', '|', 'Mín', '16°']","['Máx', '26°', '|', 'Mín', '17°']","['Máx', '26°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '20°']",Miércoles 9 : 27°,Viernes 4 : 14°,26,16,21.0
1,04112022002951Córdoba ,04/Nov/2022,Córdoba ,"['Máx', '29°', '|', 'Mín', '10°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 10°,29,14,21.5
2,04112022002951Capital Federal ,04/Nov/2022,Capital Federal ,"['Máx', '29°', '|', 'Mín', '10°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 10°,29,14,21.5
3,04112022002952Paraná ,04/Nov/2022,Paraná ,"['Máx', '29°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']",Miércoles 9 : 33°,Viernes 4 : 14°,31,15,23.0
4,04112022002952Posadas ,04/Nov/2022,Posadas ,"['Máx', '29°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']",Miércoles 9 : 33°,Viernes 4 : 14°,31,15,23.0
5,04112022002953Formosa ,04/Nov/2022,Formosa ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 13°,29,14,21.5
6,04112022002953Salta ,04/Nov/2022,Salta ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 13°,29,14,21.5
7,04112022002954Viedma ,04/Nov/2022,Viedma ,"['Máx', '28°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']",Lunes 7 : 31°,Viernes 4 : 12°,29,15,22.0
8,04112022002954Ushuaia ,04/Nov/2022,Ushuaia ,"['Máx', '28°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']",Lunes 7 : 31°,Viernes 4 : 12°,29,15,22.0
9,04112022002954Mendoza ,04/Nov/2022,Mendoza ,"['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '33°', '|', 'Mín', '20°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '26°', '|', 'Mín', '15°']","['Máx', '20°', '|', 'Mín', '17°']",Lunes 7 : 33°,Viernes 4 : 15°,29,15,22.0
10,04112022002955San Juan ,04/Nov/2022,San Juan ,"['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '33°', '|', 'Mín', '20°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '26°', '|', 'Mín', '15°']","['Máx', '20°', '|', 'Mín', '17°']",Lunes 7 : 33°,Viernes 4 : 15°,29,15,22.0
11,04112022002955San Luis ,04/Nov/2022,San Luis ,"['Máx', '30°', '|', 'Mín', '13°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '17°']","['Máx', '35°', '|', 'Mín', '18°']","['Máx', '32°', '|', 'Mín', '16°']","['Máx', '25°', '|', 'Mín', '16°']",Martes 8 : 35°,Viernes 4 : 13°,31,15,23.0
12,04112022002956Rawson ,04/Nov/2022,Rawson ,"['Máx', '30°', '|', 'Mín', '13°']","['Máx', '32°', '|', 'Mín', '14°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '34°', '|', 'Mín', '17°']","['Máx', '35°', '|', 'Mín', '18°']","['Máx', '32°', '|', 'Mín', '16°']","['Máx', '25°', '|', 'Mín', '16°']",Martes 8 : 35°,Viernes 4 : 13°,31,15,23.0
13,04112022002956Santiago del Estero ,04/Nov/2022,Santiago del Estero ,"['Máx', '31°', '|', 'Mín', '16°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '33°', '|', 'Mín', '19°']","['Máx', '34°', '|', 'Mín', '20°']","['Máx', '36°', '|', 'Mín', '22°']","['Máx', '32°', '|', 'Mín', '21°']","['Máx', '28°', '|', 'Mín', '14°']",Martes 8 : 36°,Viernes 4 : 16°,32,18,25.0
14,04112022002957La Rioja ,04/Nov/2022,La Rioja ,"['Máx', '31°', '|', 'Mín', '16°']","['Máx', '33°', '|', 'Mín', '18°']","['Máx', '33°', '|', 'Mín', '19°']","['Máx', '34°', '|', 'Mín', '20°']","['Máx', '36°', '|', 'Mín', '22°']","['Máx', '32°', '|', 'Mín', '21°']","['Máx', '28°', '|', 'Mín', '14°']",Martes 8 : 36°,Viernes 4 : 16°,32,18,25.0
